"","X.3","X.2","datetime","station_id","type","ta","rh","No","station_lat","station_lon","sunrise","sunset","time_of_day","period","date","phenophase","Year","Month","Day_of_month","Hour","YYYYMMDDHHMM_To","WindSpeed_Avg_m_s","WindSpeed_Max_m_s","cooling_rate","time_after_sunset","temp_diff"
"1",1,1,"2023-01-01 01:00:00","FRSEEP","measured",15.6336666666667,59.5216666666667,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",1,"night","2023-01-01","leafless",2023,1,1,0,"2023-01-01 00:59:00",5.38,8.3,NA,9,-0.2451666666667
"2",8,8,"2023-01-01 02:00:00","FRSEEP","measured",14.629,63.1933333333333,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",2,"night","2023-01-01","leafless",2023,1,1,1,"2023-01-01 01:59:00",4.72,6.93,1.0046666666667,10,-0.4788333333333
"3",12,12,"2023-01-01 03:00:00","FRSEEP","measured",14.885,61.9,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",3,"night","2023-01-01","leafless",2023,1,1,2,"2023-01-01 02:59:00",4.56,7.38,-0.256,11,-0.4088333333333
"4",20,20,"2023-01-01 04:00:00","FRSEEP","measured",14.8746666666667,60.9116666666666,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",4,"night","2023-01-01","leafless",2023,1,1,3,"2023-01-01 03:59:00",4.23,5.66,0.0103333333332998,12,-0.801
"5",21,21,"2023-01-01 05:00:00","FRSEEP","measured",14.4591666666667,61.6483333333333,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",5,"night","2023-01-01","leafless",2023,1,1,4,"2023-01-01 04:59:00",5.01,7.44,0.4155,13,-1.3083333333334
"6",28,28,"2023-01-01 06:00:00","FRSEEP","measured",13.3803333333333,64.57,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",6,"night","2023-01-01","leafless",2023,1,1,5,"2023-01-01 05:59:00",2.22,3.33,1.0788333333334,14,-1.4525
"7",33,33,"2023-01-01 07:00:00","FRSEEP","measured",12.8336666666667,65.5,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",7,"night","2023-01-01","leafless",2023,1,1,6,"2023-01-01 06:59:00",2.48,3.96,0.546666666666601,15,-1.8603333333334
"8",36,36,"2023-01-01 08:00:00","FRSEEP","measured",12.1296666666667,68.4016666666668,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",8,"day","2023-01-01","leafless",2023,1,1,7,"2023-01-01 07:59:00",1.69,2.66,0.703999999999999,16,-1.9076666666667
"9",43,43,"2023-01-01 09:00:00","FRSEEP","measured",14.3948333333333,59.175,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",9,"day","2023-01-01","leafless",2023,1,1,8,"2023-01-01 08:59:00",1.91,3.17,-2.2651666666666,17,-1.658
"10",47,47,"2023-01-01 10:00:00","FRSEEP","measured",16.8296666666667,52.0750000000001,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",10,"day","2023-01-01","leafless",2023,1,1,9,"2023-01-01 09:59:00",2.43,3.08,-2.4348333333334,18,-1.281
"11",53,53,"2023-01-01 11:00:00","FRSEEP","measured",18.4208333333333,45.7716666666667,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",11,"day","2023-01-01","leafless",2023,1,1,10,"2023-01-01 10:59:00",1.48,2.75,-1.5911666666666,19,-1.8608333333333
"12",60,60,"2023-01-01 12:00:00","FRSEEP","measured",18.7515,44.47,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",12,"day","2023-01-01","leafless",2023,1,1,11,"2023-01-01 11:59:00",1.78,3.27,-0.330666666666701,20,-1.4263333333333
"13",64,64,"2023-01-01 13:00:00","FRSEEP","measured",18.5148333333333,44.5233333333333,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",13,"day","2023-01-01","leafless",2023,1,1,12,"2023-01-01 12:59:00",1.48,2.28,0.2366666666667,21,0.198499999999999
"14",69,69,"2023-01-01 14:00:00","FRSEEP","measured",18.7305,43.9183333333333,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",14,"day","2023-01-01","leafless",2023,1,1,13,"2023-01-01 13:59:00",1.62,2.41,-0.215666666666699,22,-0.376333333333299
"15",73,73,"2023-01-01 15:00:00","FRSEEP","measured",17.9853333333333,45.2316666666666,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",15,"day","2023-01-01","leafless",2023,1,1,14,"2023-01-01 14:59:00",1.29,2,0.745166666666698,23,-1.2653333333333
"16",78,78,"2023-01-01 16:00:00","FRSEEP","measured",15.1786666666667,57.3583333333334,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",16,"night","2023-01-01","leafless",2023,1,1,15,"2023-01-01 15:59:00",1.44,1.92,2.8066666666666,0,-0.832000000000001
"17",82,82,"2023-01-01 17:00:00","FRSEEP","measured",13.4683333333333,64.085,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",17,"night","2023-01-01","leafless",2023,1,1,16,"2023-01-01 16:59:00",1.44,2.34,1.7103333333334,1,-0.5203333333333
"18",89,89,"2023-01-01 18:00:00","FRSEEP","measured",12.5578333333333,67.095,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",18,"night","2023-01-01","leafless",2023,1,1,17,"2023-01-01 17:59:00",1.1,2.31,0.910500000000001,2,-0.737833333333299
"19",91,91,"2023-01-01 19:00:00","FRSEEP","measured",14.1628333333333,54.9549999999999,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",19,"night","2023-01-01","leafless",2023,1,1,18,"2023-01-01 18:59:00",4.46,6.65,-1.605,3,-1.7685
"20",100,100,"2023-01-01 20:00:00","FRSEEP","measured",14.0125,54.4200000000001,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",20,"night","2023-01-01","leafless",2023,1,1,19,"2023-01-01 19:59:00",4.37,5.74,0.1503333333333,4,-1.5575
"21",101,101,"2023-01-01 21:00:00","FRSEEP","measured",11.8705,65.2516666666667,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",21,"night","2023-01-01","leafless",2023,1,1,20,"2023-01-01 20:59:00",3.63,4.95,2.142,5,-1.0363333333333
"22",107,107,"2023-01-01 22:00:00","FRSEEP","measured",11.3738333333333,69.2316666666666,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",22,"night","2023-01-01","leafless",2023,1,1,21,"2023-01-01 21:59:00",2.73,3.44,0.4966666666667,6,-1.238
"23",111,111,"2023-01-01 23:00:00","FRSEEP","measured",9.82550000000001,76.2383333333334,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",23,"night","2023-01-01","leafless",2023,1,1,22,"2023-01-01 22:59:00",1.56,2.99,1.54833333333329,7,-0.640000000000011
"24",120,120,"2023-01-02 00:00:00","FRSEEP","measured",9.54583333333333,77.7233333333334,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",0,"night","2023-01-01","leafless",2023,1,1,23,"2023-01-01 23:59:00",2.36,3.63,0.27966666666668,8,-0.30599999999999
"25",125,125,"2023-01-02 01:00:00","FRSEEP","measured",9.61500000000001,73.7883333333333,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",1,"night","2023-01-02","leafless",2023,1,2,0,"2023-01-02 00:59:00",1.73,3.15,-0.0691666666666801,9,-0.533166666666672
"26",128,128,"2023-01-02 02:00:00","FRSEEP","measured",8.76233333333334,79.1266666666666,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",2,"night","2023-01-02","leafless",2023,1,2,1,"2023-01-02 01:59:00",2.36,3.45,0.852666666666671,10,-0.0785000000000089
"27",134,134,"2023-01-02 03:00:00","FRSEEP","measured",9.22033333333334,77.6466666666666,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",3,"night","2023-01-02","leafless",2023,1,2,2,"2023-01-02 02:59:00",1.84,2.52,-0.458,11,-0.934666666666679
"28",139,139,"2023-01-02 04:00:00","FRSEEP","measured",10.0241666666667,70.815,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",4,"night","2023-01-02","leafless",2023,1,2,3,"2023-01-02 03:59:00",1.82,2.79,-0.80383333333336,12,-0.408000000000019
"29",143,143,"2023-01-02 05:00:00","FRSEEP","measured",10.3898333333333,65.1866666666667,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",5,"night","2023-01-02","leafless",2023,1,2,4,"2023-01-02 04:59:00",2.54,4.84,-0.3656666666666,13,-0.610499999999959
"30",149,149,"2023-01-02 06:00:00","FRSEEP","measured",12.5525,52.9600000000001,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",6,"night","2023-01-02","leafless",2023,1,2,5,"2023-01-02 05:59:00",3.67,4.54,-2.1626666666667,14,-1.4068333333333
"31",154,154,"2023-01-02 07:00:00","FRSEEP","measured",13.0901666666667,49.3533333333333,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",7,"night","2023-01-02","leafless",2023,1,2,6,"2023-01-02 06:59:00",3.52,4.31,-0.5376666666667,15,-1.735
"32",156,156,"2023-01-02 08:00:00","FRSEEP","measured",12.3815,52.0366666666667,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",8,"day","2023-01-02","leafless",2023,1,2,7,"2023-01-02 07:59:00",4,4.75,0.7086666666667,16,-1.0458333333333
"33",163,163,"2023-01-02 09:00:00","FRSEEP","measured",12.7965,50.3933333333334,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",9,"day","2023-01-02","leafless",2023,1,2,8,"2023-01-02 08:59:00",3.37,4.51,-0.414999999999999,17,-0.764333333333299
"34",168,168,"2023-01-02 10:00:00","FRSEEP","measured",16.1821666666667,38.77,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",10,"day","2023-01-02","leafless",2023,1,2,9,"2023-01-02 09:59:00",4.91,8.63,-3.3856666666667,18,-0.6123333333334
"35",175,175,"2023-01-02 11:00:00","FRSEEP","measured",16.1881666666667,40.585,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",11,"day","2023-01-02","leafless",2023,1,2,10,"2023-01-02 10:59:00",6.54,10.55,-0.00600000000000023,19,-0.16
"36",180,180,"2023-01-02 12:00:00","FRSEEP","measured",16.9278333333333,40.3216666666666,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",12,"day","2023-01-02","leafless",2023,1,2,11,"2023-01-02 11:59:00",6.54,9.64,-0.739666666666601,20,-0.172166666666602
"37",185,185,"2023-01-02 13:00:00","FRSEEP","measured",16.2478333333333,43.6133333333333,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",13,"day","2023-01-02","leafless",2023,1,2,12,"2023-01-02 12:59:00",6.2,8.5,0.68,21,0.00133333333339891
"38",188,188,"2023-01-02 14:00:00","FRSEEP","measured",15.0803333333333,51.295,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",14,"day","2023-01-02","leafless",2023,1,2,13,"2023-01-02 13:59:00",6.76,12.21,1.1675,22,-0.1163333333333
"39",193,193,"2023-01-02 15:00:00","FRSEEP","measured",13.0843333333333,67.8,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",15,"day","2023-01-02","leafless",2023,1,2,14,"2023-01-02 14:59:00",6.42,10.1,1.996,23,-0.0396666666665997
"40",199,199,"2023-01-02 16:00:00","FRSEEP","measured",13.112,67.3066666666666,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",16,"night","2023-01-02","leafless",2023,1,2,15,"2023-01-02 15:59:00",5.12,8,-0.0276666666667005,0,-0.123333333333299
"41",202,202,"2023-01-02 17:00:00","FRSEEP","measured",12.9236666666667,70.045,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",17,"night","2023-01-02","leafless",2023,1,2,16,"2023-01-02 16:59:00",6.86,11.24,0.188333333333301,1,-0.142999999999999
"42",207,207,"2023-01-02 18:00:00","FRSEEP","measured",12.0295,78.32,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",18,"night","2023-01-02","leafless",2023,1,2,17,"2023-01-02 17:59:00",7.24,11.35,0.894166666666699,2,-0.0833333333333002
"43",214,214,"2023-01-02 19:00:00","FRSEEP","measured",11.2443333333333,84.5583333333334,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",19,"night","2023-01-02","leafless",2023,1,2,18,"2023-01-02 18:59:00",4.88,8.1,0.785166666666701,3,-0.0024999999999995
"44",219,219,"2023-01-02 20:00:00","FRSEEP","measured",10.8881666666667,87.435,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",20,"night","2023-01-02","leafless",2023,1,2,19,"2023-01-02 19:59:00",3.06,4,0.356166666666599,4,0.00683333333329905
"45",222,222,"2023-01-02 21:00:00","FRSEEP","measured",10.1358333333333,91.3283333333333,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",21,"night","2023-01-02","leafless",2023,1,2,20,"2023-01-02 20:59:00",2.6,3.31,0.7523333333334,5,0.0943333333333989
"46",228,228,"2023-01-02 22:00:00","FRSEEP","measured",9.52166666666667,90.0866666666667,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",22,"night","2023-01-02","leafless",2023,1,2,21,"2023-01-02 21:59:00",2.43,4.64,0.61416666666663,6,0.0386666666666606
"47",234,234,"2023-01-02 23:00:00","FRSEEP","measured",9.25050000000001,89.4749999999999,1,48.011264,7.819404,"2023-01-02 07:19:50","2023-01-02 15:47:30",23,"night","2023-01-02","leafless",2023,1,2,22,"2023-01-02 22:59:00",1.52,2.68,0.271166666666661,7,0.041500000000001
"48",240,240,"2023-01-03 00:00:00","FRSEEP","measured",9.11683333333334,86.8466666666667,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",0,"night","2023-01-02","leafless",2023,1,2,23,"2023-01-02 23:59:00",1.36,2.89,0.13366666666667,8,-0.114333333333329
"49",243,243,"2023-01-03 01:00:00","FRSEEP","measured",8.69716666666666,88.6083333333334,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",1,"night","2023-01-03","leafless",2023,1,3,0,"2023-01-03 00:59:00",1.49,2.36,0.419666666666679,9,0.0351666666666688
"50",249,249,"2023-01-03 02:00:00","FRSEEP","measured",8.20716666666666,91.6533333333334,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",2,"night","2023-01-03","leafless",2023,1,3,1,"2023-01-03 01:59:00",1.75,2.47,0.49,10,0.22466666666668
"51",252,252,"2023-01-03 03:00:00","FRSEEP","measured",7.82599999999999,94.9800000000001,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",3,"night","2023-01-03","leafless",2023,1,3,2,"2023-01-03 02:59:00",1.26,2.2,0.381166666666671,11,0.409833333333349
"52",256,256,"2023-01-03 04:00:00","FRSEEP","measured",7.626,96.7183333333333,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",4,"night","2023-01-03","leafless",2023,1,3,3,"2023-01-03 03:59:00",0.77,1.29,0.19999999999999,12,0.338
"53",262,262,"2023-01-03 05:00:00","FRSEEP","measured",7.59183333333334,98.1866666666667,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",5,"night","2023-01-03","leafless",2023,1,3,4,"2023-01-03 04:59:00",0.85,1.49,0.0341666666666605,13,0.540999999999999
"54",266,266,"2023-01-03 06:00:00","FRSEEP","measured",7.20183333333334,99.67,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",6,"night","2023-01-03","leafless",2023,1,3,5,"2023-01-03 05:59:00",0.87,1.51,0.39,14,0.0556666666666601
"55",272,272,"2023-01-03 07:00:00","FRSEEP","measured",6.70883333333333,99.9000000000001,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",7,"night","2023-01-03","leafless",2023,1,3,6,"2023-01-03 06:59:00",1.08,2.11,0.49300000000001,15,0.16900000000001
"56",278,278,"2023-01-03 08:00:00","FRSEEP","measured",6.7455,99.8999999999999,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",8,"day","2023-01-03","leafless",2023,1,3,7,"2023-01-03 07:59:00",0.73,1.81,-0.0366666666666697,16,0.23616666666666
"57",283,283,"2023-01-03 09:00:00","FRSEEP","measured",7.68733333333335,96.9249999999999,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",9,"day","2023-01-03","leafless",2023,1,3,8,"2023-01-03 08:59:00",1.46,2.24,-0.94183333333335,17,0.17766666666665
"58",286,286,"2023-01-03 10:00:00","FRSEEP","measured",8.29416666666667,92.6033333333334,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",10,"day","2023-01-03","leafless",2023,1,3,9,"2023-01-03 09:59:00",1.97,2.61,-0.606833333333319,18,-0.0305000000000089
"59",292,292,"2023-01-03 11:00:00","FRSEEP","measured",9.1497,87.6810000000001,2,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",11,"day","2023-01-03","leafless",2023,1,3,10,"2023-01-03 10:59:00",1.65,2.31,-0.85553333333333,19,-0.32403333333334
"60",299,299,"2023-01-03 12:00:00","FRSEEP","predicted",10.7759687751532,78.7289929243706,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",12,"day","2023-01-03","leafless",2023,1,3,11,"2023-01-03 11:59:00",1.35,1.95,-1.6262687751532,20,-1.38880210848654
"61",304,304,"2023-01-03 13:00:00","FRSEEP","measured",12.0104,70.786,2,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",13,"day","2023-01-03","leafless",2023,1,3,12,"2023-01-03 12:59:00",1.73,2.68,-1.2344312248468,21,-0.1985666666667
"62",309,309,"2023-01-03 14:00:00","FRSEEP","measured",11.7803333333333,69.5466666666667,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",14,"day","2023-01-03","leafless",2023,1,3,13,"2023-01-03 13:59:00",2.29,3.75,0.230066666666701,22,-0.449499999999999
"63",311,311,"2023-01-03 15:00:00","FRSEEP","measured",11.0456666666667,69.31,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",15,"day","2023-01-03","leafless",2023,1,3,14,"2023-01-03 14:59:00",2.41,3.47,0.7346666666666,23,-0.974833333333398
"64",316,316,"2023-01-03 16:00:00","FRSEEP","measured",9.09316666666666,76.7433333333334,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",16,"night","2023-01-03","leafless",2023,1,3,15,"2023-01-03 15:59:00",1.91,2.71,1.95250000000004,0,-0.59583333333334
"65",321,321,"2023-01-03 17:00:00","FRSEEP","measured",7.677,84.4533333333333,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",17,"night","2023-01-03","leafless",2023,1,3,16,"2023-01-03 16:59:00",2.43,4.68,1.41616666666666,1,-0.473333333333329
"66",329,329,"2023-01-03 18:00:00","FRSEEP","measured",7.22991666666667,82.9816666666667,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",18,"night","2023-01-03","leafless",2023,1,3,17,"2023-01-03 17:59:00",4.52,6.78,0.44708333333333,2,-0.46108333333334
"67",334,334,"2023-01-03 19:00:00","FRSEEP","measured",6.71983333333333,82.3583333333333,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",19,"night","2023-01-03","leafless",2023,1,3,18,"2023-01-03 18:59:00",4.76,6.3,0.510083333333339,3,-0.510833333333331
"68",339,339,"2023-01-03 20:00:00","FRSEEP","measured",6.20566666666666,82.7383333333335,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",20,"night","2023-01-03","leafless",2023,1,3,19,"2023-01-03 19:59:00",4.41,5.99,0.514166666666671,4,-0.45799999999999
"69",341,341,"2023-01-03 21:00:00","FRSEEP","measured",5.839,82.3799999999999,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",21,"night","2023-01-03","leafless",2023,1,3,20,"2023-01-03 20:59:00",4.51,5.95,0.366666666666659,5,-0.42833333333332
"70",347,347,"2023-01-03 22:00:00","FRSEEP","measured",4.88533333333333,86.0416666666668,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",22,"night","2023-01-03","leafless",2023,1,3,21,"2023-01-03 21:59:00",4.87,6.35,0.95366666666667,6,-0.10116666666666
"71",351,351,"2023-01-03 23:00:00","FRSEEP","measured",3.562,92.7900000000001,1,48.011264,7.819404,"2023-01-03 07:19:46","2023-01-03 15:48:29",23,"night","2023-01-03","leafless",2023,1,3,22,"2023-01-03 22:59:00",2.61,5.18,1.32333333333333,7,0.67166666666667
"72",360,360,"2023-01-04 00:00:00","FRSEEP","measured",3.75883333333333,90.5649999999999,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",0,"night","2023-01-03","leafless",2023,1,3,23,"2023-01-03 23:59:00",2.3,4.47,-0.19683333333333,8,-0.44416666666666
"73",361,361,"2023-01-04 01:00:00","FRSEEP","measured",2.28216666666666,99.5416666666667,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",1,"night","2023-01-04","leafless",2023,1,4,0,"2023-01-04 00:59:00",1.22,2.53,1.47666666666667,9,-0.20816666666665
"74",367,367,"2023-01-04 02:00:00","FRSEEP","measured",2.31650000000001,98.3349999999999,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",2,"night","2023-01-04","leafless",2023,1,4,1,"2023-01-04 01:59:00",2.02,3.1,-0.0343333333333504,10,0.0159999999999996
"75",372,372,"2023-01-04 03:00:00","FRSEEP","measured",3.76750000000001,92.075,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",3,"night","2023-01-04","leafless",2023,1,4,2,"2023-01-04 02:59:00",2.79,5.1,-1.451,11,-0.53666666666667
"76",379,379,"2023-01-04 04:00:00","FRSEEP","measured",7.0585,78.0050000000001,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",4,"night","2023-01-04","leafless",2023,1,4,3,"2023-01-04 03:59:00",3.66,5.08,-3.29099999999999,12,-0.375500000000001
"77",385,385,"2023-01-04 05:00:00","FRSEEP","measured",8.82816666666668,68.9566666666667,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",5,"night","2023-01-04","leafless",2023,1,4,4,"2023-01-04 04:59:00",3.92,5.5,-1.76966666666668,13,-0.162833333333351
"78",389,389,"2023-01-04 06:00:00","FRSEEP","measured",9.34533333333332,64.3366666666667,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",6,"night","2023-01-04","leafless",2023,1,4,5,"2023-01-04 05:59:00",5.63,8.64,-0.51716666666664,14,-0.0873333333333211
"79",394,394,"2023-01-04 07:00:00","FRSEEP","measured",9.80816666666668,62.2816666666667,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",7,"night","2023-01-04","leafless",2023,1,4,6,"2023-01-04 06:59:00",6.31,8.49,-0.462833333333359,15,-0.113333333333349
"80",396,396,"2023-01-04 08:00:00","FRSEEP","measured",9.46333333333333,65.8250000000001,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",8,"day","2023-01-04","leafless",2023,1,4,7,"2023-01-04 07:59:00",6.5,9.88,0.34483333333335,16,-0.0951666666666586
"81",403,403,"2023-01-04 09:00:00","FRSEEP","measured",8.8235,72.1033333333333,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",9,"day","2023-01-04","leafless",2023,1,4,8,"2023-01-04 08:59:00",7.42,11.08,0.63983333333333,17,-0.167666666666658
"82",410,410,"2023-01-04 10:00:00","FRSEEP","measured",9.61516666666667,65.7433333333334,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",10,"day","2023-01-04","leafless",2023,1,4,9,"2023-01-04 09:59:00",7.42,9.86,-0.791666666666671,18,-0.0848333333333411
"83",414,414,"2023-01-04 11:00:00","FRSEEP","measured",10.0951666666667,60.9,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",11,"day","2023-01-04","leafless",2023,1,4,10,"2023-01-04 10:59:00",7.31,12.37,-0.480000000000029,19,-0.0116666666666987
"84",417,417,"2023-01-04 12:00:00","FRSEEP","measured",10.2121666666667,59.3049999999999,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",12,"day","2023-01-04","leafless",2023,1,4,11,"2023-01-04 11:59:00",8.1,10.37,-0.117000000000001,20,0.0466666666665994
"85",421,421,"2023-01-04 13:00:00","FRSEEP","measured",10.1175,63.745,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",13,"day","2023-01-04","leafless",2023,1,4,12,"2023-01-04 12:59:00",8.31,13.09,0.0946666666667006,21,0.0566666666667004
"86",427,427,"2023-01-04 14:00:00","FRSEEP","measured",10.2661666666667,67.7733333333334,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",14,"day","2023-01-04","leafless",2023,1,4,13,"2023-01-04 13:59:00",9.15,12.48,-0.148666666666701,22,0.0406666666665991
"87",432,432,"2023-01-04 15:00:00","FRSEEP","measured",10.2150833333333,69.3741666666667,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",15,"day","2023-01-04","leafless",2023,1,4,14,"2023-01-04 14:59:00",6.81,9.97,0.0510833333334002,23,-0.0347500000000007
"88",438,438,"2023-01-04 16:00:00","FRSEEP","measured",10.1138333333333,73.2766666666667,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",16,"night","2023-01-04","leafless",2023,1,4,15,"2023-01-04 15:59:00",7.69,13.02,0.10125,0,-0.0516666666666001
"89",442,442,"2023-01-04 17:00:00","FRSEEP","measured",10.4055,74.9016666666668,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",17,"night","2023-01-04","leafless",2023,1,4,16,"2023-01-04 16:59:00",8.07,11.8,-0.2916666666667,1,-0.0328333333333006
"90",448,448,"2023-01-04 18:00:00","FRSEEP","measured",10.7326666666667,75.0316666666667,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",18,"night","2023-01-04","leafless",2023,1,4,17,"2023-01-04 17:59:00",10.09,12.93,-0.327166666666701,2,-0.0193333333334014
"91",453,453,"2023-01-04 19:00:00","FRSEEP","measured",10.918,75.8283333333334,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",19,"night","2023-01-04","leafless",2023,1,4,18,"2023-01-04 18:59:00",9.48,12.37,-0.185333333333299,3,-0.053333333333299
"92",457,457,"2023-01-04 20:00:00","FRSEEP","measured",10.921,78.6933333333333,1,48.011264,7.819404,"2023-01-04 07:19:39","2023-01-04 15:49:30",20,"night","2023-01-04","leafless",2023,1,4,19,"2023-01-04 19:59:00",7.65,12.9,-0.00300000000000011,4,-0.051833333333299
