"","hour","mean_cooling","se_cooling","n"
"1",0,3.05736111111112,0.267214242751361,12
"2",1,1.70093055555554,0.232650226129596,12
"3",2,1.03811111111112,0.121275954099102,12
"4",3,0.82306944444445,0.173572643970732,12
"5",4,0.650013888888875,0.0952152011830868,12
"6",5,0.554124999999974,0.0942309406217254,12
"7",6,0.619069444444458,0.116935657540158,12
"8",7,0.492069444444458,0.0693506329741232,12
"9",8,0.274236111111101,0.0996423158200959,12
