"","hour","mean_cooling","se_cooling","n"
"1",0,2.66452777777778,0.245302867866902,12
"2",1,1.82169444444444,0.307213963781997,12
"3",2,0.754958333333333,0.203086387679449,12
"4",3,0.692055555555575,0.241871111130605,12
"5",4,0.831152777777767,0.102932959815941,12
"6",5,0.716319444444425,0.116652705619088,12
"7",6,0.343486111111133,0.128810184943162,12
"8",7,0.552180555555559,0.111131304588617,12
"9",8,0.122597222222208,0.122358221153345,12
