"","hour","mean_cooling","se_cooling","n"
"1",0,2.79872222222222,0.273595612287278,12
"2",1,1.40083333333335,0.382940930030017,12
"3",2,0.712097222222208,0.251797381815612,12
"4",3,0.376722222222241,0.18318062663751,12
"5",4,0.628527777777767,0.13307408482145,12
"6",5,0.758083333333316,0.146602079873491,12
"7",6,0.778972222222217,0.224472375968514,12
"8",7,0.465986111111117,0.157742162529128,12
"9",8,0.173791666666667,0.200900255128064,12
